"id","name","code","user_type_id/id","note","chart_template_id/id","nocreate","reconcile"
"chartgr_18_01_05","ΜετοχέςμηεισαγμένεςστοΧρηματιστήριοεταιριώνεξωτερικού","18.01.05","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_01_06","ΑνεξόφλητεςμετοχέςεισαγμένεςστοΧρηματιστήριοεταιριώνεξωτερικού","18.01.06","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_01_07","ΑνεξόφλητεςμετοχέςμηεισαγμένεςστοΧρηματιστήριοεταιριώνεξωτερικού","18.01.07","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_01_08","Συμμετοχέςσελοιπές(πληνΑΕ)επιχειρήσειςεσωτερικού","18.01.08","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_01_09","Συμμετοχέςσελοιπές(πληνΑΕ)επιχειρήσειςεξωτερικού","18.01.09","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_01_10","Προεγγραφέςσευπόέκδοσημετοχέςεταιριώνεσωτερικού","18.01.10","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_01_11","Προεγγραφέςσευπόέκδοσημετοχέςεταιριώνεξωτερικού","18.01.11","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_01_12","Μετοχέςσετρίτουςγιαεγγύηση","18.01.12","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_01_99","Προβλέψειςγιαυποτιμήσειςσυμμετοχώνσεσυνδεδεμένεςεπιχειρήσεις","18.01.99","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_02","Μακροπρόθεσμεςαπαιτήσειςκατάσυγγενώνσυνδεδεμένωνεπιχειρήσεωνσεδρχ","18.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_03","ΜακροπρόθεσμεςαπαιτήσειςκατάσυγγενώνσυνδεδεμένωνεπιχειρήσεωνσεΞ.Ν.","18.03","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_04","Μακρ/σμεςαπαιτήσειςκατάλοιπώνσυμμετοχικούενδιαφέροντοςεπιχ/σεωνσεδρχ.","18.04","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_05","Μακρ/σμεςαπαιτήσειςκατάλοιπώνσυμμετοχικούενδιαφέροντοςεπιχ/σεωνσεΞ.Ν.","18.05","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
